Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes,PhantomMidgePresence_YesNo
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,A,2,76,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,B,1,41,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,C,1,79,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,A,1,73,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,B,1,103,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,C,1,57,3-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,A,1,54,9-Sep-21,80,HLW,Daphnia have helmets!,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,B,1,53,9-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,C,1,69,9-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,A,1,50,9-Sep-21,80,HLW,"x1 ostracod + x1 something really weird - macroinvert????, also got some emergent vegetation so maybe that's why",
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,B,1,32,9-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,C,1,37,9-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,A,1,32,16-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,B,1,47,16-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,C,1,44,16-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,A,1,33,17-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,B,1,25,17-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,C,1,29,17-Sep-21,80,HLW,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,D,1,33,17-Sep-21,80,HLW,,
FCR2021,FCR_50,11-Jun-21,0:32,F10Jun21_midnight_epi_rep1,4.4,2000,A,1,28,7-Sep-21,80,CEB,,
